,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,edge sparsity,epoch duration,run duration,lr,batch_size
0,0,2.3356600390625,1.8261224609375,0.20952,0.3212999999523163,0.9897787570953369,12.083927392959595,23.448447704315186,0.1,1024
1,1,1.7420901318359374,1.7150615234375,0.3478,0.34929999709129333,0.989900529384613,9.427184104919434,32.89960598945618,0.1,1024
2,2,1.5850442993164062,1.55991689453125,0.41132,0.44039997458457947,0.9902475476264954,9.112330436706543,42.02381706237793,0.1,1024
3,3,1.4436796655273438,1.43441240234375,0.47372,0.486299991607666,0.9896790981292725,9.364579677581787,51.397847175598145,0.1,1024
4,4,1.3254491235351562,1.424192578125,0.51944,0.5144999623298645,0.9901552796363831,9.356467485427856,60.763795614242554,0.1,1024
5,5,1.2026724072265624,1.2692326171875,0.56578,0.5708999633789062,0.990103542804718,9.48566484451294,70.25909471511841,0.1,1024
6,6,1.1217664733886719,1.45361875,0.59658,0.51419997215271,0.9897602796554565,9.17670488357544,79.44818902015686,0.1,1024
7,7,1.0395656420898438,1.112903515625,0.62836,0.6284999847412109,0.9899190068244934,9.316327333450317,88.77893495559692,0.1,1024
8,8,0.9913391662597656,1.14621357421875,0.6465,0.623199999332428,0.990192174911499,9.22663688659668,98.0172348022461,0.1,1024
9,9,0.9302456811523437,1.0422544921875,0.67224,0.6559999585151672,0.9902179837226868,9.375168085098267,107.40388178825378,0.1,1024
10,10,0.8889747033691406,0.9682802734375,0.68556,0.6697999835014343,0.9898710250854492,9.383395910263062,116.79744458198547,0.1,1024
11,11,0.8563786376953125,1.21079794921875,0.70018,0.6013999581336975,0.9899669885635376,9.297709226608276,126.10551905632019,0.1,1024
12,12,0.8319647619628906,1.000976953125,0.71024,0.6685000061988831,0.9899485111236572,9.32897686958313,135.4448835849762,0.1,1024
13,13,0.8076662890625,0.8261671875,0.71856,0.7208999991416931,0.9899448752403259,9.488448858261108,144.94390892982483,0.1,1024
14,14,0.7966060266113282,1.00544736328125,0.72214,0.6721999645233154,0.9899817705154419,9.2903470993042,154.24485611915588,0.1,1024
15,15,0.7841294384765625,0.92029638671875,0.7289,0.6904000043869019,0.9902253746986389,9.411010026931763,163.666588306427,0.1,1024
16,16,0.7591611547851562,0.900359765625,0.73772,0.7109000086784363,0.9898082613945007,9.116529703140259,172.7938973903656,0.1,1024
17,17,0.748456494140625,0.8938484375,0.7401,0.7173999547958374,0.9901958703994751,9.232318878173828,182.03733897209167,0.1,1024
18,18,0.73749595703125,0.774058935546875,0.74574,0.7422999739646912,0.9901773929595947,9.234423160552979,191.28285431861877,0.1,1024
19,19,0.7292332958984376,0.758275830078125,0.74792,0.7522000074386597,0.9899669885635376,9.250201225280762,200.54417634010315,0.1,1024
20,20,0.7208639587402343,0.71699853515625,0.75088,0.7583000063896179,0.9897897839546204,9.195924758911133,209.75133061408997,0.1,1024
21,21,0.7092914306640625,0.774433056640625,0.7543,0.7520999908447266,0.9901146292686462,9.307457685470581,219.08686470985413,0.1,1024
22,22,0.708700712890625,0.73464326171875,0.75358,0.7610999941825867,0.9903324246406555,9.383076906204224,228.48140668869019,0.1,1024
23,23,0.6877385705566407,0.722864111328125,0.76202,0.757099986076355,0.9899190068244934,9.444077968597412,237.9369399547577,0.1,1024
24,24,0.6881113427734376,0.805921728515625,0.75994,0.7459999918937683,0.9901626110076904,9.283412456512451,247.2319781780243,0.1,1024
25,25,0.6877314294433594,0.725556689453125,0.76318,0.760699987411499,0.9899669885635376,9.485086679458618,256.72907638549805,0.1,1024
26,26,0.6746456213378906,0.9390447265625,0.7662,0.7109999656677246,0.9901958703994751,9.322715282440186,266.06366515159607,0.1,1024
