,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,1.7487643743896484,1.7740396484375,0.34536,0.3986999988555908,1.0,268346.0,0.9999999506794522,40551048.0,20.813798427581787,22.824528217315674,0.1,128
1,1,1.3051313763427734,1.972881640625,0.52356,0.4153999984264374,1.0,268346.0,0.9999999506794522,40551048.0,19.676971197128296,42.52719783782959,0.1,128
2,2,1.1000197706604005,1.13535498046875,0.60438,0.6067000031471252,1.0,268346.0,0.9999999506794522,40551048.0,19.613797664642334,62.16376829147339,0.1,128
3,3,0.9860010229492188,1.05783759765625,0.65114,0.6560999751091003,1.0,268346.0,0.9999999506794522,40551048.0,19.56575059890747,81.75335812568665,0.1,128
4,4,0.9055479486083985,1.09035966796875,0.68056,0.6420999765396118,1.0,268346.0,0.9999999506794522,40551048.0,19.566675901412964,101.3440010547638,0.1,128
5,5,0.8515616137695312,1.26597119140625,0.70442,0.5990999937057495,1.0,268346.0,0.9999999506794522,40551048.0,19.656319618225098,121.02396059036255,0.1,128
6,6,0.8147841465759277,0.769884228515625,0.71652,0.7409999966621399,1.0,268346.0,0.9999999506794522,40551048.0,19.477785110473633,140.52689719200134,0.1,128
7,7,0.7962462406158447,0.82314482421875,0.72136,0.7265999913215637,1.0,268346.0,0.9999999506794522,40551048.0,19.562969207763672,160.11448097229004,0.1,128
8,8,0.7673702587890625,0.945990234375,0.73412,0.7138999700546265,1.0,268346.0,0.9999999506794522,40551048.0,19.490782976150513,179.62949061393738,0.1,128
9,9,0.7424342244720459,0.729305810546875,0.74164,0.7644999623298645,1.0,268346.0,0.9999999506794522,40551048.0,19.765005350112915,199.42145705223083,0.1,128
10,10,0.7305942119598389,0.85757802734375,0.7461,0.7253999710083008,1.0,268346.0,0.9999999506794522,40551048.0,19.51542854309082,218.96197485923767,0.1,128
11,11,0.7205761275482178,0.785231103515625,0.75138,0.7358999848365784,1.0,268346.0,0.9999999506794522,40551048.0,19.730305910110474,238.71804285049438,0.1,128
12,12,0.6995549394226074,1.59891240234375,0.7584,0.593999981880188,1.0,268346.0,0.9999999506794522,40551048.0,19.583380937576294,258.32735896110535,0.1,128
13,13,0.6931814813232422,0.815519677734375,0.76008,0.729200005531311,1.0,268346.0,0.9999999506794522,40551048.0,19.564950466156006,277.91896295547485,0.1,128
