,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,edge sparsity,epoch duration,run duration,lr,batch_size
0,0,1.7906978750610352,1.58192001953125,0.3377,0.4213999807834625,1.0,24.172056674957275,34.06225228309631,0.1,128
1,1,1.342853565673828,1.31032548828125,0.50518,0.5360000133514404,1.0,21.682164430618286,55.768070697784424,0.1,128
2,2,1.1105046629333497,1.03483486328125,0.59988,0.6337999701499939,1.0,21.79998254776001,77.57752919197083,0.1,128
3,3,0.954608751373291,0.90787705078125,0.6603,0.6757999658584595,1.0,21.658657789230347,99.24752068519592,0.1,128
4,4,0.8611285877990723,0.8322572265625,0.69762,0.711899995803833,1.0,22.009476900100708,121.26687979698181,0.1,128
5,5,0.789178346710205,0.7516482421875,0.7235,0.738099992275238,1.0,22.011301279067993,143.28781366348267,0.1,128
6,6,0.7385735984039307,0.7316322265625,0.7432,0.7454999685287476,1.0,21.94209599494934,165.23970866203308,0.1,128
7,7,0.6927244458007813,0.68245361328125,0.75768,0.7670999765396118,1.0,22.047393560409546,187.29763221740723,0.1,128
8,8,0.6585568824768067,0.71266923828125,0.76954,0.7565000057220459,1.0,22.60217809677124,209.90991187095642,0.1,128
9,9,0.6298433528900147,0.614389111328125,0.7802,0.786899983882904,1.0,21.696377992630005,231.61649012565613,0.1,128
10,10,0.6127838815307617,0.648347998046875,0.7845,0.778499960899353,1.0,22.29389977455139,253.92069244384766,0.1,128
11,11,0.5903264545440674,0.598026611328125,0.79278,0.7965999841690063,1.0,22.7311692237854,276.6622037887573,0.1,128
12,12,0.5729622663116455,0.61891591796875,0.80046,0.7847999930381775,1.0,21.666993141174316,298.33968210220337,0.1,128
13,13,0.5536793268585205,0.5769923828125,0.80652,0.8015999794006348,1.0,22.300904273986816,320.65117716789246,0.1,128
14,14,0.5399778034210205,0.5494048828125,0.80986,0.8089999556541443,1.0,22.1833815574646,342.8455259799957,0.1,128
15,15,0.5285962029266358,0.556317333984375,0.81664,0.8100000023841858,1.0,22.263938903808594,365.1204333305359,0.1,128
16,16,0.5171788202667237,0.5209990234375,0.81858,0.8183000087738037,1.0,22.26770305633545,387.3991641998291,0.1,128
17,17,0.5041252147674561,0.560850341796875,0.82394,0.8060999512672424,1.0,21.84655499458313,409.25741314888,0.1,128
18,18,0.4939847149276733,0.53470283203125,0.82682,0.8158999681472778,1.0,22.43416452407837,431.7026836872101,0.1,128
19,19,0.48837945236206054,0.530935205078125,0.82922,0.8147000074386597,1.0,22.045894145965576,453.7600018978119,0.1,128
20,20,0.4761138105392456,0.509482763671875,0.83292,0.8269000053405762,1.0,22.2404887676239,476.0120813846588,0.1,128
21,21,0.4714209002304077,0.517748046875,0.83564,0.8241999745368958,1.0,22.41447949409485,498.4382061958313,0.1,128
22,22,0.4617348887634277,0.503949951171875,0.83772,0.8283999562263489,1.0,22.24416160583496,520.6940689086914,0.1,128
23,23,0.452122367477417,0.485380615234375,0.84272,0.835599958896637,1.0,22.209935665130615,542.915842294693,0.1,128
24,24,0.4442396127319336,0.49326201171875,0.84442,0.8343999981880188,1.0,22.361985683441162,565.2899143695831,0.1,128
25,25,0.43734691520690916,0.486623046875,0.84596,0.8314999938011169,1.0,22.113991260528564,587.4159364700317,0.1,128
26,26,0.4348128796005249,0.4765443359375,0.84756,0.8374999761581421,1.0,22.792137145996094,610.220223903656,0.1,128
27,27,0.42270755214691164,0.460884912109375,0.85062,0.8391000032424927,1.0,21.64100933074951,631.8735547065735,0.1,128
28,28,0.4251786405944824,0.493382861328125,0.85034,0.833899974822998,1.0,22.77087640762329,654.663498878479,0.1,128
29,29,0.41789298221588134,0.479094873046875,0.85316,0.8373000025749207,1.0,22.11757779121399,676.7935874462128,0.1,128
30,30,0.411730721282959,0.463627197265625,0.85556,0.8416000008583069,1.0,21.85129976272583,698.658096075058,0.1,128
31,31,0.40398330711364744,0.4462158203125,0.85802,0.8479999899864197,1.0,22.75364851951599,721.4246673583984,0.1,128
32,32,0.4012412686538696,0.479596240234375,0.85888,0.8398000001907349,1.0,22.285489797592163,743.7231621742249,0.1,128
33,33,0.3935728326034546,0.45715546875,0.86162,0.8458999991416931,1.0,22.26330828666687,765.9996061325073,0.1,128
34,34,0.3881003105163574,0.473874462890625,0.86386,0.8393999934196472,1.0,22.491945505142212,788.5045590400696,0.1,128
