,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity mlp1,sparsity mlp2,edge sparsity,epoch duration,run duration,lr,batch_size
0,0,0.9360049682617188,0.2520693359375,0.8424,0.9355999827384949,1.0,1.0,0.9894024133682251,4.540735244750977,6.775244235992432,0.001,1024
1,1,0.18347239303588866,0.1629091552734375,0.9471,0.9545999765396118,1.0,1.0,0.9891265034675598,3.2603561878204346,10.049198150634766,0.001,1024
2,2,0.11887126502990723,0.131765087890625,0.9639,0.961899995803833,1.0,1.0,0.9887648820877075,3.0613231658935547,13.121492624282837,0.001,1024
3,3,0.08478868691126505,0.11544566650390625,0.9741833333333333,0.9674999713897705,1.0,1.0,0.9878973960876465,3.0252349376678467,16.158181190490723,0.001,1024
4,4,0.06375565808614095,0.10529144287109375,0.9805333333333334,0.9702000021934509,1.0,1.0,0.9870090484619141,3.0949831008911133,19.264353036880493,0.001,1024
5,5,0.04933085374832153,0.09400206298828125,0.9843833333333334,0.9750999808311462,1.0,1.0,0.9868376851081848,3.0577895641326904,22.333580493927002,0.001,1024
6,6,0.03800084301630656,0.087056298828125,0.98805,0.9764999747276306,1.0,1.0,0.9859932065010071,3.264219284057617,25.609408617019653,0.001,1024
7,7,0.030372650496164957,0.09037784423828125,0.99055,0.9756999611854553,1.0,1.0,0.9848874807357788,3.1618971824645996,28.782935857772827,0.001,1024
8,8,0.021935310411453246,0.08829876098632812,0.9935333333333334,0.9759999513626099,1.0,1.0,0.9841182231903076,3.14198899269104,31.93676733970642,0.001,1024
9,9,0.018001132996877035,0.08757539672851562,0.9950666666666667,0.9769999980926514,1.0,1.0,0.9832925796508789,3.124796152114868,35.07345700263977,0.001,1024
10,10,0.015145272405942281,0.09013390502929687,0.9955333333333334,0.9769999980926514,1.0,1.0,0.9821450114250183,3.0353007316589355,38.120847940444946,0.001,1024
11,11,0.01237996167341868,0.09644498901367188,0.9965333333333334,0.9750999808311462,1.0,1.0,0.9810978174209595,3.0825047492980957,41.21559429168701,0.001,1024
12,12,0.013294957145055136,0.08838607177734376,0.9963,0.9777999520301819,1.0,1.0,0.9797349572181702,3.001843214035034,44.229947328567505,0.001,1024
13,13,0.009149645034472147,0.09062403564453125,0.9976666666666667,0.976699948310852,1.0,1.0,0.9782153367996216,3.0742247104644775,47.316728591918945,0.001,1024
14,14,0.008076743698120116,0.08855535278320313,0.99795,0.9782999753952026,1.0,1.0,0.9765661358833313,3.0356814861297607,50.36497235298157,0.001,1024
15,15,0.008093289959430695,0.08698091430664062,0.9977833333333334,0.9799999594688416,1.0,1.0,0.9744465947151184,3.141113042831421,53.51896786689758,0.001,1024
16,16,0.007651675514380137,0.09581317749023438,0.9979666666666667,0.9784999489784241,1.0,1.0,0.9723124504089355,3.109996795654297,56.64170813560486,0.001,1024
17,17,0.007427893543243408,0.09352066650390625,0.9980833333333333,0.9799999594688416,1.0,1.0,0.9702640175819397,3.1957929134368896,59.8503794670105,0.001,1024
18,18,0.007844019893805187,0.09495405883789063,0.9977666666666667,0.9781999588012695,1.0,1.0,0.9678999185562134,3.013068914413452,62.87662220001221,0.001,1024
19,19,0.00804603256781896,0.09736466674804688,0.99765,0.9789999723434448,1.0,1.0,0.965638279914856,3.090134859085083,65.97992086410522,0.001,1024
20,20,0.00921710855960846,0.0970794189453125,0.9968666666666667,0.9779999852180481,1.0,1.0,0.9625488519668579,3.0337042808532715,69.02708411216736,0.001,1024
21,21,0.011525926530361176,0.0999119140625,0.9963,0.9786999821662903,1.0,1.0,0.9593214988708496,3.0678551197052,72.10843133926392,0.001,1024
22,22,0.01289889680147171,0.09368544921875,0.9959166666666667,0.9797999858856201,1.0,1.0,0.9563784599304199,3.062335968017578,75.18464684486389,0.001,1024
23,23,0.011585202399889628,0.08949874877929688,0.99625,0.9795999526977539,1.0,1.0,0.9520996809005737,3.0681769847869873,78.2665343284607,0.001,1024
24,24,0.01020966579914093,0.08793876953125,0.9968166666666667,0.9793999791145325,1.0,1.0,0.9476683139801025,3.0893006324768066,81.3697772026062,0.001,1024
25,25,0.009330244064331054,0.09364025268554688,0.997,0.9795999526977539,1.0,1.0,0.9438222646713257,3.003021240234375,84.38683009147644,0.001,1024
26,26,0.012245460402965546,0.09415953369140626,0.9961333333333333,0.9790999889373779,1.0,1.0,0.9386676549911499,3.0435781478881836,87.44449639320374,0.001,1024
27,27,0.013252617017428081,0.09163424072265625,0.99535,0.9781999588012695,1.0,1.0,0.9326456785202026,3.0849220752716064,90.543701171875,0.001,1024
28,28,0.013047999095916748,0.0919953369140625,0.9957666666666667,0.979699969291687,1.0,1.0,0.9259651899337769,3.0861546993255615,93.64426064491272,0.001,1024
29,29,0.01948429254690806,0.09800213012695312,0.9934166666666666,0.9770999550819397,1.0,1.0,0.9196651577949524,3.0664751529693604,96.72550463676453,0.001,1024
30,30,0.01892816694577535,0.0952388916015625,0.9932666666666666,0.9788999557495117,1.0,1.0,0.9127275943756104,3.2161335945129395,99.95638751983643,0.001,1024
31,31,0.02055268251101176,0.09173395385742188,0.993,0.9788999557495117,1.0,1.0,0.9047030806541443,3.1479504108428955,103.11926579475403,0.001,1024
32,32,0.028250102615356446,0.09002305297851562,0.9902166666666666,0.9793999791145325,1.0,1.0,0.8962082862854004,3.082476854324341,106.21671605110168,0.001,1024
33,33,0.02732355620066325,0.09106709594726563,0.9909666666666667,0.9781999588012695,1.0,1.0,0.8869296312332153,3.169320583343506,109.40116596221924,0.001,1024
