,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,1.8012453790283203,1.4760123046875,0.31864,0.4476,1.0,461882.0,0.9999999709566595,68862600.0,15.45185399055481,17.336822271347046,0.1,128
1,1,1.3750467141723632,1.31184921875,0.49744,0.5282,1.0,461882.0,0.9999999709566595,68862600.0,14.340085506439209,31.703588247299194,0.1,128
2,2,1.128460923461914,0.9938828125,0.59704,0.6488,1.0,461882.0,0.9999999709566595,68862600.0,14.17579197883606,45.90233397483826,0.1,128
3,3,0.9859131047058105,2.332895703125,0.64806,0.4598,1.0,461882.0,0.9999999709566595,68862600.0,14.181453227996826,60.10766100883484,0.1,128
4,4,0.9002943399047851,0.89448173828125,0.68312,0.6982,1.0,461882.0,0.9999999709566595,68862600.0,14.465129613876343,74.59683537483215,0.1,128
5,5,0.8464016213989258,0.87886025390625,0.70582,0.7101,1.0,461882.0,0.9999999709566595,68862600.0,14.218758583068848,88.84001755714417,0.1,128
6,6,0.8040148777008057,0.8467466796875,0.7208,0.7148,1.0,461882.0,0.9999999709566595,68862600.0,14.099356889724731,102.96383762359619,0.1,128
7,7,0.7737982608032227,1.4126875,0.7305,0.6099,1.0,461882.0,0.9999999709566595,68862600.0,14.492655277252197,117.48100161552429,0.1,128
8,8,0.7617869395446777,0.96002021484375,0.7344,0.691,1.0,461882.0,0.9999999709566595,68862600.0,14.175373315811157,131.682226896286,0.1,128
9,9,0.7423053701019288,0.94461123046875,0.74256,0.6871,1.0,461882.0,0.9999999709566595,68862600.0,14.08665657043457,145.7942488193512,0.1,128
10,10,0.7185900289154052,0.825314453125,0.75066,0.7407,1.0,461882.0,0.9999999709566595,68862600.0,14.655646562576294,160.4756510257721,0.1,128
11,11,0.7027288653564453,0.71891806640625,0.75438,0.7641,1.0,461882.0,0.9999999709566595,68862600.0,14.426070213317871,174.9268515110016,0.1,128
12,12,0.6988788670349121,0.760455419921875,0.7568,0.7528,1.0,461882.0,0.9999999709566595,68862600.0,14.183432340621948,189.1355540752411,0.1,128
13,13,0.6803361949920654,0.71153623046875,0.76338,0.7675,1.0,461882.0,0.9999999709566595,68862600.0,14.153568983078003,203.31586503982544,0.1,128
14,14,0.6758566623687744,1.09898212890625,0.76614,0.6468,1.0,461882.0,0.9999999709566595,68862600.0,14.183364629745483,217.52466940879822,0.1,128
15,15,0.6684098704528808,0.8458521484375,0.76806,0.7431,1.0,461882.0,0.9999999709566595,68862600.0,14.143608808517456,231.69436383247375,0.1,128
16,16,0.657478256149292,1.04103232421875,0.77096,0.6963,1.0,461882.0,0.9999999709566595,68862600.0,14.329179286956787,246.0505907535553,0.1,128
17,17,0.6515579281616211,0.643369482421875,0.77628,0.7853,1.0,461882.0,0.9999999709566595,68862600.0,14.17238163948059,260.2497911453247,0.1,128
18,18,0.64263984664917,0.62265439453125,0.77876,0.7907,1.0,461882.0,0.9999999709566595,68862600.0,14.36697793006897,274.642835855484,0.1,128
19,19,0.643138486328125,0.92158408203125,0.77882,0.6995,1.0,461882.0,0.9999999709566595,68862600.0,14.123091459274292,288.7921738624573,0.1,128
20,20,0.6379911083984375,0.77670576171875,0.7795,0.7374,1.0,461882.0,0.9999999709566595,68862600.0,14.105402708053589,302.9250590801239,0.1,128
21,21,0.6288374314880371,0.808561279296875,0.78202,0.7291,1.0,461882.0,0.9999999709566595,68862600.0,14.40711498260498,317.35953164100647,0.1,128
22,22,0.6306865854644775,1.08277158203125,0.78114,0.6812,1.0,461882.0,0.9999999709566595,68862600.0,14.239649295806885,331.6269917488098,0.1,128
23,23,0.621690489654541,0.82369599609375,0.78594,0.7408,1.0,461882.0,0.9999999709566595,68862600.0,14.271860837936401,345.9264907836914,0.1,128
24,24,0.6159496690368652,0.7407740234375,0.78688,0.7685,1.0,461882.0,0.9999999709566595,68862600.0,14.390193223953247,360.34492206573486,0.1,128
25,25,0.6162914282226563,0.818183740234375,0.78708,0.7211,1.0,461882.0,0.9999999709566595,68862600.0,14.456937313079834,374.8305244445801,0.1,128
26,26,0.614005168685913,0.74409228515625,0.78806,0.7579,1.0,461882.0,0.9999999709566595,68862600.0,14.344797611236572,389.2036533355713,0.1,128
27,27,0.6078721987915039,0.789315185546875,0.78974,0.7406,1.0,461882.0,0.9999999709566595,68862600.0,14.157294034957886,403.3892903327942,0.1,128
28,28,0.6033413721466064,0.646023681640625,0.79052,0.7909,1.0,461882.0,0.9999999709566595,68862600.0,14.252675533294678,417.6711218357086,0.1,128
