,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity conv1,sparsity conv2,sparsity mlp1,sparsity mlp2,edge sparsity,epoch duration,run duration,lr,batch_size
0,0,4.058211482493083,0.1934458740234375,0.77865,0.9484999775886536,1.0,1.0,1.0,1.0,0.9895427227020264,6.7093915939331055,17.406030416488647,0.001,1024
1,1,0.15302382799784342,0.11354581298828124,0.9540833333333333,0.9698999524116516,1.0,1.0,1.0,1.0,0.9894596934318542,3.8584320545196533,21.281333208084106,0.001,1024
2,2,0.1033447945912679,0.094522412109375,0.9686166666666667,0.974399983882904,1.0,1.0,1.0,1.0,0.9888439178466797,3.81020450592041,25.103991508483887,0.001,1024
3,3,0.0741789036432902,0.07430549926757812,0.97695,0.981499969959259,1.0,1.0,1.0,1.0,0.9885267019271851,4.086682558059692,29.203357934951782,0.001,1024
4,4,0.05880422461827596,0.07102113037109375,0.98125,0.9807999730110168,1.0,1.0,1.0,1.0,0.9880117177963257,3.8017661571502686,33.01801252365112,0.001,1024
5,5,0.04654757515589396,0.06074517822265625,0.9855,0.9820999503135681,1.0,1.0,1.0,1.0,0.9873652458190918,3.877460479736328,36.908939599990845,0.001,1024
6,6,0.03803397901852926,0.0556176513671875,0.988,0.9850999712944031,1.0,1.0,1.0,1.0,0.9867131114006042,3.8797266483306885,40.80206060409546,0.001,1024
7,7,0.03286675968170166,0.05623380126953125,0.9896,0.9854999780654907,1.0,1.0,1.0,1.0,0.9859919548034668,3.781696081161499,44.59709692001343,0.001,1024
8,8,0.024893013699849448,0.0523134033203125,0.9919666666666667,0.9860000014305115,1.0,1.0,1.0,1.0,0.9850636720657349,3.9042811393737793,48.51489210128784,0.001,1024
9,9,0.022443852440516155,0.06008047485351563,0.9928166666666667,0.9835999608039856,1.0,1.0,1.0,1.0,0.9844432473182678,3.888610363006592,52.41721487045288,0.001,1024
10,10,0.018973357876141867,0.07007994384765626,0.9937833333333334,0.9835000038146973,1.0,1.0,1.0,1.0,0.9835597276687622,3.9939818382263184,56.425052881240845,0.001,1024
11,11,0.01761755634943644,0.05319168701171875,0.9938166666666667,0.986299991607666,1.0,1.0,1.0,1.0,0.9823497533798218,3.9379706382751465,60.377033948898315,0.001,1024
12,12,0.01562262114683787,0.05227452392578125,0.9950166666666667,0.9856999516487122,1.0,1.0,1.0,1.0,0.9811024069786072,4.0636091232299805,64.45472049713135,0.001,1024
13,13,0.014574783070882162,0.05294102172851563,0.9952333333333333,0.9868999719619751,1.0,1.0,1.0,1.0,0.9799838066101074,3.9197723865509033,68.38875794410706,0.001,1024
14,14,0.013333284815152486,0.0535052001953125,0.9953,0.986799955368042,1.0,1.0,1.0,1.0,0.9786161184310913,3.8845417499542236,72.28790354728699,0.001,1024
15,15,0.010607570489247639,0.05461492309570312,0.99655,0.9878000020980835,1.0,1.0,1.0,1.0,0.9770188927650452,3.8074722290039062,76.1098997592926,0.001,1024
