,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,1.7410852114868165,1.69935703125,0.34976,0.4296,1.0,268346.0,0.9999999506794522,40551048.0,11.081202507019043,13.142629146575928,0.1,128
1,1,1.2831292527770997,1.1888630859375,0.5336,0.5861,1.0,268346.0,0.9999999506794522,40551048.0,9.877271175384521,23.042229652404785,0.1,128
2,2,1.0708054696655274,1.16885400390625,0.61352,0.6071,1.0,268346.0,0.9999999506794522,40551048.0,9.759146213531494,32.82074856758118,0.1,128
3,3,0.9462551679992676,0.9420474609375,0.66734,0.6721,1.0,268346.0,0.9999999506794522,40551048.0,9.676461458206177,42.51608967781067,0.1,128
4,4,0.8725455323791504,0.881410546875,0.69412,0.6913,1.0,268346.0,0.9999999506794522,40551048.0,9.831319332122803,52.36799693107605,0.1,128
5,5,0.8259718112182617,1.2576970703125,0.7111,0.6372,1.0,268346.0,0.9999999506794522,40551048.0,10.052403926849365,62.440404415130615,0.1,128
6,6,0.7905578881835937,0.82901806640625,0.72336,0.7128,1.0,268346.0,0.9999999506794522,40551048.0,9.951864004135132,72.4118902683258,0.1,128
7,7,0.7616643804168701,1.29885625,0.73474,0.6259,1.0,268346.0,0.9999999506794522,40551048.0,9.5483717918396,81.9799587726593,0.1,128
8,8,0.7437356857299805,0.71141298828125,0.74098,0.757,1.0,268346.0,0.9999999506794522,40551048.0,9.597903490066528,91.60133337974548,0.1,128
9,9,0.723407721786499,1.697237890625,0.74874,0.5774,1.0,268346.0,0.9999999506794522,40551048.0,9.45801830291748,101.08045029640198,0.1,128
10,10,0.7062400645446777,1.148460546875,0.75596,0.6364,1.0,268346.0,0.9999999506794522,40551048.0,9.897317171096802,110.99837136268616,0.1,128
11,11,0.698338786315918,1.4315314453125,0.75828,0.6135,1.0,268346.0,0.9999999506794522,40551048.0,9.683595895767212,120.70372605323792,0.1,128
12,12,0.6846657833099365,0.890476953125,0.7631,0.7155,1.0,268346.0,0.9999999506794522,40551048.0,9.559653282165527,130.28576922416687,0.1,128
13,13,0.674907611618042,0.632836767578125,0.7656,0.7838,1.0,268346.0,0.9999999506794522,40551048.0,9.862298250198364,140.17070603370667,0.1,128
14,14,0.674603452835083,0.90238681640625,0.76468,0.6994,1.0,268346.0,0.9999999506794522,40551048.0,9.848432064056396,150.04086685180664,0.1,128
15,15,0.6696302732849121,0.739037890625,0.76678,0.7624,1.0,268346.0,0.9999999506794522,40551048.0,9.567713737487793,159.63098907470703,0.1,128
16,16,0.6607835443115234,0.612681884765625,0.77124,0.7862,1.0,268346.0,0.9999999506794522,40551048.0,9.745843410491943,169.39994025230408,0.1,128
17,17,0.653928974609375,0.60312392578125,0.7729,0.7888,1.0,268346.0,0.9999999506794522,40551048.0,9.872494220733643,179.29492783546448,0.1,128
18,18,0.6540946935272217,0.699971875,0.77298,0.7771,1.0,268346.0,0.9999999506794522,40551048.0,9.877044677734375,189.19418954849243,0.1,128
19,19,0.6459434966278076,0.84728798828125,0.77686,0.7309,1.0,268346.0,0.9999999506794522,40551048.0,9.662582159042358,198.87962985038757,0.1,128
20,20,0.6394365917205811,0.87347783203125,0.77856,0.7265,1.0,268346.0,0.9999999506794522,40551048.0,9.620722532272339,208.52384281158447,0.1,128
21,21,0.6366194500732422,0.73206435546875,0.78024,0.764,1.0,268346.0,0.9999999506794522,40551048.0,9.671022176742554,218.21843028068542,0.1,128
22,22,0.6295520866394043,0.64895595703125,0.78142,0.7832,1.0,268346.0,0.9999999506794522,40551048.0,9.966220140457153,228.2078013420105,0.1,128
23,23,0.6283821648406982,1.19759091796875,0.78086,0.6427,1.0,268346.0,0.9999999506794522,40551048.0,9.58753752708435,237.81976795196533,0.1,128
24,24,0.6256596962738037,0.757086669921875,0.78162,0.7582,1.0,268346.0,0.9999999506794522,40551048.0,9.696083545684814,247.54007601737976,0.1,128
25,25,0.6278739542388916,0.5953830078125,0.7826,0.7964,1.0,268346.0,0.9999999506794522,40551048.0,9.60545802116394,257.16955304145813,0.1,128
