,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,1.7001325286865234,1.54673173828125,0.36248,0.4624,1.0,268346.0,0.9999999506794522,40551048.0,19.694210529327393,21.771395444869995,0.1,128
1,1,1.254462361907959,1.2504421875,0.54368,0.5542,1.0,268346.0,0.9999999506794522,40551048.0,18.36837887763977,40.16605472564697,0.1,128
2,2,1.06933541015625,1.0083720703125,0.61842,0.6571,1.0,268346.0,0.9999999506794522,40551048.0,18.420546770095825,58.609594106674194,0.1,128
3,3,0.9453711402893067,1.026653515625,0.6653,0.6591,1.0,268346.0,0.9999999506794522,40551048.0,18.069660663604736,76.70363998413086,0.1,128
4,4,0.8880731857299805,0.87406376953125,0.68842,0.7087,1.0,268346.0,0.9999999506794522,40551048.0,18.559409856796265,95.28628420829773,0.1,128
5,5,0.8302995573425292,0.7784783203125,0.71182,0.7354,1.0,268346.0,0.9999999506794522,40551048.0,18.16653060913086,113.47687792778015,0.1,128
6,6,0.7976285527038575,0.7797826171875,0.72124,0.7415,1.0,268346.0,0.9999999506794522,40551048.0,18.370906114578247,131.87132716178894,0.1,128
7,7,0.7616411558532715,0.86734560546875,0.73456,0.7136,1.0,268346.0,0.9999999506794522,40551048.0,18.207666158676147,150.10272812843323,0.1,128
8,8,0.7454549186706543,0.730121142578125,0.74204,0.7493,1.0,268346.0,0.9999999506794522,40551048.0,18.42755627632141,168.5576274394989,0.1,128
9,9,0.7291962595367432,0.730283251953125,0.74786,0.7519,1.0,268346.0,0.9999999506794522,40551048.0,18.22432255744934,186.8062708377838,0.1,128
10,10,0.7052468022918701,0.681212890625,0.75504,0.7773,1.0,268346.0,0.9999999506794522,40551048.0,18.24700927734375,205.07788252830505,0.1,128
11,11,0.6894461329650879,0.72809267578125,0.76124,0.7571,1.0,268346.0,0.9999999506794522,40551048.0,18.120341777801514,223.22312235832214,0.1,128
12,12,0.6828536412048339,0.607191162109375,0.76376,0.7969,1.0,268346.0,0.9999999506794522,40551048.0,18.250900506973267,241.54339814186096,0.1,128
13,13,0.6716176203918457,0.652678125,0.76814,0.7845,1.0,268346.0,0.9999999506794522,40551048.0,18.00254535675049,259.57129073143005,0.1,128
14,14,0.6648309828186035,0.64059052734375,0.76838,0.7785,1.0,268346.0,0.9999999506794522,40551048.0,18.28982186317444,277.88772678375244,0.1,128
15,15,0.6531609992218017,0.630596826171875,0.7722,0.7931,1.0,268346.0,0.9999999506794522,40551048.0,18.069217920303345,295.98363065719604,0.1,128
16,16,0.6515198406982422,0.7295580078125,0.77302,0.7663,1.0,268346.0,0.9999999506794522,40551048.0,18.288414239883423,314.2993359565735,0.1,128
