,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,1.8915456964111328,1.605481640625,0.30938,0.4153999984264374,0.9892675873685466,265466.0,0.9918182636454543,40219272.0,30.0641348361969,42.92809820175171,0.1,128
1,1,1.4085659019470216,1.27439013671875,0.48662,0.5284000039100647,0.9898042080001193,265610.0,0.9913637254768989,40200840.0,26.22814178466797,69.19161748886108,0.1,128
2,2,1.1688528213500977,1.43634912109375,0.58064,0.5616999864578247,0.9924873111579826,266330.0,0.9954545689938978,40366728.0,26.116286277770996,95.3193747997284,0.1,128
3,3,1.0272079542541503,1.0075466796875,0.6355,0.6565999984741211,0.993560552421128,266618.0,0.9963636453310087,40403592.0,25.874176263809204,121.20512437820435,0.1,128
4,4,0.9379785583496094,0.96332412109375,0.66944,0.6866999864578247,0.9924873111579826,266330.0,0.9963636453310087,40403592.0,26.017253637313843,147.2342073917389,0.1,128
5,5,0.8711463102722168,0.8821671875,0.69546,0.7033999562263489,0.993560552421128,266618.0,0.9954545689938978,40366728.0,25.897692441940308,173.14372158050537,0.1,128
6,6,0.8247066271972656,0.764171337890625,0.71256,0.7407000064849854,0.9914140698948373,266042.0,0.993636416319676,40293000.0,26.18955707550049,199.3453392982483,0.1,128
7,7,0.7880481129455567,0.88444306640625,0.72556,0.7181000113487244,0.9844380016843925,264170.0,0.9927273399825652,40256136.0,26.036884307861328,225.39443016052246,0.1,128
8,8,0.7658087308502197,0.85245869140625,0.73496,0.7222999930381775,0.9822915191581019,263594.0,0.9913637254768989,40200840.0,26.28804612159729,251.6947798728943,0.1,128
9,9,0.7308032453155517,0.674037255859375,0.74688,0.7786999940872192,0.9753154509476571,261722.0,0.9886364964655663,40090248.0,26.14301037788391,277.85054326057434,0.1,128
10,10,0.7221602451324463,0.6563017578125,0.74784,0.7856999635696411,0.9651196589477764,258986.0,0.9840911147800119,39905928.0,26.010310649871826,303.87345361709595,0.1,128
11,11,0.7071586206817627,0.689148193359375,0.75516,0.7709999680519104,0.9635097970530584,258554.0,0.9845456529485673,39924360.0,25.35354232788086,329.2396583557129,0.1,128
