,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,2.375583779296875,1.9429759765625,0.18932,0.29409998655319214,0.9924873111579826,266330.0,0.9927273399825652,40256136.0,9.613215684890747,11.825408935546875,0.1,1024
1,1,1.8200985034179689,1.7548171875,0.32024,0.3637000024318695,0.9914140698948373,266042.0,0.9918182636454543,40219272.0,7.118212461471558,18.958824157714844,0.1,1024
2,2,1.6917055029296875,1.5998076171875,0.36996,0.42639997601509094,0.9914140698948373,266042.0,0.9909091873083434,40182408.0,7.210167169570923,26.18316411972046,0.1,1024
3,3,1.5851843676757813,1.48989443359375,0.4145,0.46799999475479126,0.9929233154211354,266447.0,0.9918182636454543,40219272.0,7.265897274017334,33.460613489151,0.1,1024
4,4,1.4750331958007812,1.4679548828125,0.45874,0.5009999871253967,0.9930239317895553,266474.0,0.9922728018140098,40237704.0,7.157685041427612,40.63018584251404,0.1,1024
5,5,1.386439599609375,1.4419626953125,0.49566,0.5020999908447266,0.9919506905264099,266186.0,0.9927273399825652,40256136.0,7.316307783126831,47.95816683769226,0.1,1024
6,6,1.3083668139648437,1.288288671875,0.5243,0.5647000074386597,0.9913134535264174,266015.0,0.9927273399825652,40256136.0,7.259023189544678,55.22928595542908,0.1,1024
7,7,1.218672257080078,1.344365625,0.56048,0.5669999718666077,0.9924873111579826,266330.0,0.9913637254768989,40200840.0,7.134256601333618,62.37583565711975,0.1,1024
8,8,1.1250552868652344,1.20646845703125,0.5936,0.6061999797821045,0.9924873111579826,266330.0,0.9940909544882315,40311432.0,7.240356206893921,69.62916564941406,0.1,1024
9,9,1.0690341528320313,1.13910673828125,0.61586,0.614300012588501,0.995170414315846,267050.0,0.9968181834995641,40422024.0,7.128039836883545,76.76981329917908,0.1,1024
10,10,1.0203375561523438,1.0953724609375,0.63662,0.6416000127792358,0.9940971730527006,266762.0,0.993636416319676,40293000.0,7.277136325836182,84.05945873260498,0.1,1024
11,11,0.9687992712402343,1.015216796875,0.65748,0.6715999841690063,0.9946337936842733,266906.0,0.9931818781511206,40274568.0,7.1628077030181885,91.23528814315796,0.1,1024
12,12,0.9271899401855469,1.02795849609375,0.66978,0.6678000092506409,0.993560552421128,266618.0,0.9950000308253424,40348296.0,7.181291818618774,98.42933535575867,0.1,1024
13,13,0.8807475354003906,1.0760248046875,0.6888,0.6389999985694885,0.9946337936842733,266906.0,0.9963636453310087,40403592.0,7.155834674835205,105.59813594818115,0.1,1024
14,14,0.8504543823242188,0.89849853515625,0.7004,0.6994999647140503,0.9940971730527006,266762.0,0.9972727216681195,40440456.0,7.18437385559082,112.79600739479065,0.1,1024
15,15,0.8064975988769532,0.7839158203125,0.71584,0.7421999573707581,0.9957070349474186,267194.0,0.9972727216681195,40440456.0,7.4021148681640625,120.21131110191345,0.1,1024
16,16,0.7836730419921875,0.87076640625,0.72462,0.7152999639511108,0.9946337936842733,266906.0,0.9963636453310087,40403592.0,7.190671682357788,127.41579055786133,0.1,1024
17,17,0.760343310546875,0.80428671875,0.73288,0.7470999956130981,0.993560552421128,266618.0,0.9963636453310087,40403592.0,7.126990556716919,134.55625748634338,0.1,1024
18,18,0.733506025390625,0.8090375,0.74276,0.7371000051498413,0.9957070349474186,267194.0,0.9963636453310087,40403592.0,7.208348274230957,141.77845644950867,0.1,1024
19,19,0.7244304553222656,0.77888427734375,0.74736,0.7472999691963196,0.9957070349474186,267194.0,0.9972727216681195,40440456.0,7.174609184265137,148.9669406414032,0.1,1024
20,20,0.6995683288574219,0.8732859375,0.7581,0.7239999771118164,0.9978535174737093,267770.0,0.9981817980052304,40477320.0,7.2983481884002686,156.27936339378357,0.1,1024
21,21,0.6823038256835937,0.73864130859375,0.7602,0.7637999653816223,0.9957070349474186,267194.0,0.9972727216681195,40440456.0,7.150331258773804,163.44417595863342,0.1,1024
22,22,0.6684584973144532,0.709164453125,0.76594,0.7738999724388123,0.9957070349474186,267194.0,0.9972727216681195,40440456.0,7.125070571899414,170.58379411697388,0.1,1024
23,23,0.6452027233886719,0.72848583984375,0.77602,0.7670999765396118,0.9957070349474186,267194.0,0.9965909144152864,40412808.0,7.194950103759766,177.7931673526764,0.1,1024
24,24,0.6312608508300781,0.59501435546875,0.77942,0.8043999671936035,0.9978535174737093,267770.0,0.9963636453310087,40403592.0,7.115509986877441,184.92316341400146,0.1,1024
25,25,0.6194098565673828,0.62391044921875,0.78324,0.7971000075340271,0.9973168968421366,267626.0,0.9972727216681195,40440456.0,7.302527189254761,192.24049067497253,0.1,1024
26,26,0.612176982421875,0.66971904296875,0.78614,0.7809999585151672,0.996780276210564,267482.0,0.9972727216681195,40440456.0,7.0893425941467285,199.34481000900269,0.1,1024
27,27,0.5957317938232422,0.580104296875,0.7902,0.8098999857902527,0.9962436555789913,267338.0,0.9963636453310087,40403592.0,7.20512843132019,206.5650017261505,0.1,1024
28,28,0.5878341680908203,0.5747171875,0.79482,0.808899998664856,0.996780276210564,267482.0,0.9981817980052304,40477320.0,7.118223428726196,213.69837284088135,0.1,1024
29,29,0.5793987628173828,0.559004345703125,0.79748,0.8224999904632568,0.9978535174737093,267770.0,0.9990908743423413,40514184.0,7.255545616149902,220.9693558216095,0.1,1024
30,30,0.5699362548828125,0.610212646484375,0.80302,0.8089999556541443,0.9994633793684273,268202.0,0.9990908743423413,40514184.0,7.3782875537872314,228.3639805316925,0.1,1024
31,31,0.5564192694091797,0.58653603515625,0.80732,0.8118000030517578,0.996780276210564,267482.0,0.9981817980052304,40477320.0,7.247361898422241,235.62847876548767,0.1,1024
32,32,0.5477519537353516,0.520664208984375,0.80836,0.8263999819755554,0.9994633793684273,268202.0,0.9990908743423413,40514184.0,7.202721357345581,242.84699940681458,0.1,1024
33,33,0.5418797546386719,0.531805322265625,0.81232,0.8283999562263489,0.9978535174737093,267770.0,0.9981817980052304,40477320.0,7.209478378295898,250.07241940498352,0.1,1024
