,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity conv1,sparsity conv2,sparsity mlp1,sparsity mlp2,edge sparsity,epoch duration,run duration,lr,batch_size
17,17,0.06430500489299495,0.12824439697265624,0.9817166666666667,0.9900999665260315,1.0,0.7199999690055847,0.09375,0.09400000423192978,0.11315446346998215,9.014489650726318,166.883882522583,0.001,128
18,18,0.07384358643790086,0.079583935546875,0.9792333333333333,0.9902999997138977,1.0,0.7599999904632568,0.06624999642372131,0.11400000751018524,0.10512184351682663,9.211381435394287,176.10970735549927,0.001,128
19,19,0.07239608407765627,0.0783273193359375,0.9801166666666666,0.9904999732971191,1.0,0.7599999904632568,0.06875000149011612,0.09200000762939453,0.09839627891778946,9.162925481796265,185.28713703155518,0.001,128
20,20,0.07326160515720645,0.07979603881835938,0.9798833333333333,0.9907999634742737,1.0,0.699999988079071,0.07249999791383743,0.09400000423192978,0.09998320788145065,9.230175256729126,194.53186583518982,0.001,128
21,21,0.07151346338298172,0.07477361450195312,0.9799,0.989799976348877,1.0,0.7199999690055847,0.054999999701976776,0.07800000160932541,0.08401034027338028,8.907240390777588,203.45387029647827,0.001,128
22,22,0.06895295790638775,0.11139693603515625,0.9814166666666667,0.9891999959945679,1.0,0.5999999642372131,0.0625,0.07800000160932541,0.08568963408470154,8.864096879959106,212.33284378051758,0.001,128
23,23,0.07686195735720297,0.0877388427734375,0.9791666666666666,0.9907999634742737,0.949999988079071,0.7400000095367432,0.06875000149011612,0.08000000566244125,0.09342090785503387,9.452622413635254,221.80052542686462,0.001,128
24,24,0.0800564299058169,0.06696737670898438,0.97845,0.9909999966621399,0.949999988079071,0.7199999690055847,0.057499997317790985,0.08800000697374344,0.08921708166599274,9.325257301330566,231.1409628391266,0.001,128
25,25,0.06766835780162364,0.103106396484375,0.9809166666666667,0.9910999536514282,0.949999988079071,0.6200000047683716,0.05874999985098839,0.08400000631809235,0.08613277971744537,9.166753053665161,240.32309198379517,0.001,128
26,26,0.06541860414175317,0.08246358642578125,0.9812166666666666,0.989799976348877,1.0,0.6200000047683716,0.05999999865889549,0.07000000029802322,0.08167332410812378,8.926861047744751,249.26577949523926,0.001,128
27,27,0.06560183784303565,0.06762803955078125,0.9816666666666667,0.9901999831199646,0.949999988079071,0.6800000071525574,0.05374999716877937,0.07400000095367432,0.08080942183732986,9.471842050552368,258.7532887458801,0.001,128
28,28,0.06628572575322662,0.0875199951171875,0.9803333333333333,0.9886999726295471,1.0,0.6399999856948853,0.05374999716877937,0.06400000303983688,0.0761624425649643,9.363024234771729,268.13205099105835,0.001,128
29,29,0.07259016144387424,0.07961495971679687,0.97915,0.9891999959945679,1.0,0.5799999833106995,0.057499997317790985,0.06800000369548798,0.07849666476249695,9.006535053253174,277.15451884269714,0.001,128
30,30,0.07597505600973964,0.07665955200195312,0.9781833333333333,0.9898999929428101,0.949999988079071,0.5999999642372131,0.05249999836087227,0.06800000369548798,0.07595066726207733,9.113365411758423,286.283967256546,0.001,128
31,31,0.07118419103569662,0.07293011474609375,0.9805333333333334,0.9902999997138977,1.0,0.5999999642372131,0.04625000059604645,0.07400000095367432,0.07448035478591919,9.276979207992554,295.5772211551666,0.001,128
32,32,0.07108183307667884,0.07908168334960937,0.9791166666666666,0.989799976348877,1.0,0.6399999856948853,0.04749999940395355,0.06400000303983688,0.07242602109909058,9.026034355163574,304.6199095249176,0.001,128
33,33,0.07053712152987719,0.08354464721679687,0.9804333333333334,0.9898999929428101,1.0,0.5399999618530273,0.05374999716877937,0.058000002056360245,0.0715835765004158,9.079691886901855,313.71616983413696,0.001,128
34,34,0.06789319814232489,0.07609560546875,0.98025,0.9906999468803406,1.0,0.5799999833106995,0.04874999821186066,0.06400000303983688,0.07177109271287918,9.22232460975647,322.9553141593933,0.001,128
35,35,0.06461152132656425,0.06683976440429687,0.9823,0.9898999929428101,1.0,0.5799999833106995,0.051249999552965164,0.07000000029802322,0.0755075216293335,9.235039234161377,332.2072186470032,0.001,128
36,36,0.06831297118850052,0.12624779052734375,0.98095,0.9907999634742737,1.0,0.6399999856948853,0.04124999791383743,0.06800000369548798,0.07018416374921799,8.957667827606201,341.1824519634247,0.001,128
37,37,0.06632980476145943,0.09145835571289063,0.9812333333333333,0.9906999468803406,1.0,0.5600000023841858,0.04625000059604645,0.06599999964237213,0.0705564096570015,9.383576393127441,350.59656023979187,0.001,128
38,38,0.07284905304275453,0.09804637451171876,0.9789,0.9905999898910522,1.0,0.5999999642372131,0.04124999791383743,0.04000000283122063,0.05878736451268196,8.927924633026123,359.5418863296509,0.001,128
39,39,0.062806052801013,0.06719403686523437,0.9826166666666667,0.989799976348877,1.0,0.5399999618530273,0.04374999925494194,0.058000002056360245,0.0656052902340889,9.148207426071167,368.70762276649475,0.001,128
40,40,0.0709873150644203,0.077191650390625,0.97985,0.9899999499320984,0.949999988079071,0.5799999833106995,0.04124999791383743,0.06800000369548798,0.06875769793987274,9.233327865600586,377.9585874080658,0.001,128
41,41,0.06861672248716155,0.08235769653320313,0.9800166666666666,0.9906999468803406,1.0,0.5399999618530273,0.051249999552965164,0.058000002056360245,0.07008900493383408,9.207907915115356,387.1843276023865,0.001,128
42,42,0.0635655254556487,0.06467987060546875,0.9822333333333333,0.9905999898910522,1.0,0.5600000023841858,0.04749999940395355,0.06599999964237213,0.07130369544029236,9.128469944000244,396.3306710720062,0.001,128
43,43,0.059964526207745075,0.07853981323242187,0.9824666666666667,0.9889999628067017,0.949999988079071,0.3999999761581421,0.05874999985098839,0.052000001072883606,0.06903478503227234,9.314427375793457,405.6632068157196,0.001,128
44,44,0.06389744902923704,0.07486205444335937,0.98165,0.9896000027656555,1.0,0.5,0.054999999701976776,0.06000000238418579,0.07214333862066269,9.143693208694458,414.82506227493286,0.001,128
45,45,0.06492338296150167,0.08196678466796875,0.9812833333333333,0.9908999800682068,1.0,0.5399999618530273,0.04625000059604645,0.058000002056360245,0.06709986180067062,9.43504548072815,424.27848052978516,0.001,128
46,46,0.06115284798989693,0.08897882080078125,0.98295,0.9907999634742737,0.949999988079071,0.5,0.054999999701976776,0.06000000238418579,0.0721190795302391,9.27006721496582,433.5672056674957,0.001,128
47,47,0.06604845898548763,0.07249685668945313,0.98085,0.9906999468803406,1.0,0.5199999809265137,0.04374999925494194,0.06200000271201134,0.0666324570775032,9.114589929580688,442.70042729377747,0.001,128
48,48,0.06957947665254274,0.0928501953125,0.9800833333333333,0.9908999800682068,1.0,0.5199999809265137,0.04625000059604645,0.058000002056360245,0.0666324570775032,9.354031324386597,452.0733470916748,0.001,128
49,49,0.0611586073829482,0.0992854736328125,0.9821666666666666,0.9901999831199646,1.0,0.5199999809265137,0.03500000014901161,0.07000000029802322,0.06439060717821121,8.961158990859985,461.0535490512848,0.001,128
50,50,0.0669948754063497,0.09623570556640625,0.9808166666666667,0.9906999468803406,1.0,0.5399999618530273,0.042500000447034836,0.0560000017285347,0.06411072611808777,9.233465671539307,470.3067500591278,0.001,128
51,51,0.06384009303624431,0.06969483642578125,0.9813833333333334,0.9907999634742737,1.0,0.5399999618530273,0.038750000298023224,0.06200000271201134,0.06411072611808777,9.006884813308716,479.33288311958313,0.001,128
52,52,0.06164466931807498,0.0870418701171875,0.98245,0.9905999898910522,1.0,0.5,0.04874999821186066,0.06800000369548798,0.07139605283737183,9.106492280960083,488.458783864975,0.001,128
53,53,0.06522321931595604,0.0743792236328125,0.9811833333333333,0.9896999597549438,1.0,0.5399999618530273,0.04999999701976776,0.07000000029802322,0.07382543385028839,9.485297679901123,497.9637539386749,0.001,128
54,54,0.06625545468380054,0.06823065185546875,0.9816,0.9902999997138977,0.949999988079071,0.5399999618530273,0.03999999910593033,0.06200000271201134,0.06483375281095505,9.030662059783936,507.0140459537506,0.001,128
55,55,0.0640933417128399,0.09443330078125,0.9818333333333333,0.9906999468803406,1.0,0.5199999809265137,0.04749999940395355,0.06800000369548798,0.07111617177724838,9.095825910568237,516.1297183036804,0.001,128
56,56,0.06301954323227207,0.06712909545898438,0.98145,0.9900999665260315,1.0,0.5399999618530273,0.038750000298023224,0.06000000238418579,0.0633634403347969,9.453913450241089,525.6036462783813,0.001,128
57,57,0.0655505920752883,0.08050284423828125,0.98055,0.9905999898910522,1.0,0.3999999761581421,0.036249998956918716,0.0560000017285347,0.05710247531533241,9.14963436126709,534.7737939357758,0.001,128
58,58,0.06273533187285066,0.06816170654296876,0.9814333333333334,0.9910999536514282,1.0,0.5399999618530273,0.04625000059604645,0.0560000017285347,0.06635257601737976,9.29045844078064,544.084597826004,0.001,128
59,59,0.06153534408037861,0.07812117919921875,0.9820166666666666,0.9896000027656555,0.949999988079071,0.5199999809265137,0.03999999910593033,0.0560000017285347,0.06212449446320534,9.091457843780518,553.1964948177338,0.001,128
60,60,0.06206645165557663,0.07426438598632812,0.9817833333333333,0.9902999997138977,1.0,0.5999999642372131,0.044999998062849045,0.04800000041723251,0.0640183612704277,9.319973468780518,562.5376486778259,0.001,128
61,61,0.06266381460477909,0.06649556274414062,0.9809666666666667,0.9899999499320984,1.0,0.5399999618530273,0.04749999940395355,0.05400000140070915,0.06635257601737976,9.196303367614746,571.7493505477905,0.001,128
62,62,0.06593332053323586,0.1043841796875,0.98025,0.9896000027656555,1.0,0.5,0.03374999761581421,0.058000002056360245,0.05869220569729805,9.22909426689148,580.993644952774,0.001,128
63,63,0.06282149186196427,0.06321417236328125,0.9817,0.9908999800682068,1.0,0.5,0.03500000014901161,0.058000002056360245,0.05943949148058891,9.273963689804077,590.3206658363342,0.001,128
64,64,0.06735893822908401,0.0728050048828125,0.9803166666666666,0.9901999831199646,1.0,0.5,0.04124999791383743,0.058000002056360245,0.06317591667175293,9.332170248031616,599.668083190918,0.001,128
65,65,0.06834384577386081,0.06862320556640625,0.9799666666666667,0.9891999959945679,1.0,0.5,0.04374999925494194,0.0820000022649765,0.07363791018724442,8.904526472091675,608.5878119468689,0.001,128
66,66,0.06542489773724228,0.07924260864257812,0.9807833333333333,0.989799976348877,1.0,0.47999998927116394,0.028749998658895493,0.05000000074505806,0.05224652215838432,9.1499764919281,617.7529709339142,0.001,128
67,67,0.05954794130623341,0.0665083740234375,0.9825166666666667,0.9911999702453613,0.949999988079071,0.5199999809265137,0.03749999776482582,0.058000002056360245,0.061377208679914474,9.095271825790405,626.8634226322174,0.001,128
68,68,0.06193773682713508,0.07422391357421874,0.9824,0.9896999597549438,0.9000000357627869,0.5,0.04124999791383743,0.06400000303983688,0.06536926329135895,9.01032280921936,635.8888969421387,0.001,128
69,69,0.06450135472267866,0.07459913940429687,0.9809166666666667,0.9882999658584595,1.0,0.47999998927116394,0.04124999791383743,0.07600000500679016,0.06943408399820328,9.161242246627808,645.065393447876,0.001,128
70,70,0.06323458923796813,0.06844771118164063,0.9819833333333333,0.9900999665260315,1.0,0.5399999618530273,0.03500000014901161,0.04800000041723251,0.05663787201046944,9.260599136352539,654.3412160873413,0.001,128
71,71,0.06423884491634865,0.07123583374023437,0.9812833333333333,0.9901999831199646,0.9000000357627869,0.4599999785423279,0.03749999776482582,0.0560000017285347,0.059203457087278366,9.221292495727539,663.5987317562103,0.001,128
72,72,0.06648637587279081,0.06990699462890625,0.9803833333333334,0.990399956703186,1.0,0.4599999785423279,0.03999999910593033,0.06400000303983688,0.06373567879199982,8.785882711410522,672.3998756408691,0.001,128
73,73,0.058886014743645985,0.06520835571289063,0.9823333333333333,0.9911999702453613,0.949999988079071,0.4599999785423279,0.03749999776482582,0.05400000140070915,0.05848043039441109,9.35190749168396,681.7669460773468,0.001,128
74,74,0.06572814758444825,0.08837337646484375,0.9807166666666667,0.9908999800682068,0.949999988079071,0.5,0.038750000298023224,0.05400000140070915,0.06016251817345619,9.275721788406372,691.0578491687775,0.001,128
75,75,0.06800708483209213,0.0659005615234375,0.9792166666666666,0.9904999732971191,0.9000000357627869,0.4599999785423279,0.04124999791383743,0.06400000303983688,0.06443445384502411,9.046759366989136,700.1199328899384,0.001,128
76,76,0.06183222616165877,0.09398987426757813,0.9814,0.9901999831199646,0.949999988079071,0.5,0.032499998807907104,0.07200000435113907,0.06315165758132935,9.09701943397522,709.2321166992188,0.001,128
77,77,0.0640702058819433,0.06193312377929688,0.9813,0.9908999800682068,1.0,0.4599999785423279,0.04625000059604645,0.06800000369548798,0.06896667927503586,9.020448207855225,718.267674446106,0.001,128
78,78,0.06614122484624387,0.06330695190429687,0.9801666666666666,0.9902999997138977,0.9000000357627869,0.47999998927116394,0.03999999910593033,0.07000000029802322,0.06639643013477325,9.092241287231445,727.3751924037933,0.001,128
79,79,0.06469488876238465,0.06868089599609375,0.9808833333333333,0.990399956703186,1.0,0.4399999976158142,0.03999999910593033,0.06000000238418579,0.06177370622754097,9.247923135757446,736.63853764534,0.001,128
80,80,0.06575512855052948,0.05515975341796875,0.9806333333333334,0.9914999604225159,0.9000000357627869,0.5,0.03749999776482582,0.0560000017285347,0.060138262808322906,8.886298656463623,745.5400469303131,0.001,128
81,81,0.06080287650028864,0.09787462158203125,0.98195,0.9919999837875366,0.9000000357627869,0.4599999785423279,0.028749998658895493,0.052000001072883606,0.052477892488241196,8.938550472259521,754.4938986301422,0.001,128
82,82,0.06378582056860128,0.06230491943359375,0.9813666666666667,0.990399956703186,0.9000000357627869,0.41999998688697815,0.03500000014901161,0.046000003814697266,0.05303765460848808,9.236352682113647,763.7454738616943,0.001,128
83,83,0.0606829302114745,0.07928312377929687,0.9824,0.9899999499320984,0.949999988079071,0.5199999809265137,0.042500000447034836,0.06200000271201134,0.06586091965436935,9.105219602584839,772.8659689426422,0.001,128
84,84,0.06653412195617954,0.08367103271484375,0.9798166666666667,0.9899999499320984,0.949999988079071,0.5,0.042500000447034836,0.05400000140070915,0.06240437552332878,9.238962888717651,782.1497464179993,0.001,128
85,85,0.060247197255243856,0.10295390625,0.9821166666666666,0.9900999665260315,0.949999988079071,0.4599999785423279,0.03500000014901161,0.058000002056360245,0.05848043039441109,8.89724612236023,791.0624268054962,0.001,128
