,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity conv1,sparsity conv2,sparsity mlp1,sparsity mlp2,edge sparsity,epoch duration,run duration,lr,batch_size
0,0,5.110231947072347,0.2054854248046875,0.7367,0.9419999718666077,1.0,1.0,0.9912499785423279,0.9900000691413879,0.991032600402832,5.138623952865601,7.551101922988892,0.001,1024
1,1,0.2148292621612549,0.14629075927734375,0.9379333333333333,0.9603999853134155,0.949999988079071,1.0,0.9887499809265137,0.9780000448226929,0.9850300550460815,3.1754252910614014,10.741379261016846,0.001,1024
2,2,0.1545726089477539,0.10276180419921875,0.9528833333333333,0.97079998254776,1.0,0.9399999976158142,0.98499995470047,0.9940000176429749,0.987388551235199,3.28627872467041,14.03999924659729,0.001,1024
3,3,0.08538588822682698,0.07858934936523437,0.9736166666666667,0.9769999980926514,1.0,1.0,0.9874999523162842,0.9900000691413879,0.98879075050354,3.2045414447784424,17.25675320625305,0.001,1024
4,4,0.0662504524230957,0.06735944213867187,0.9792333333333333,0.9815999865531921,1.0,0.9799999594688416,0.9887499809265137,0.9940000176429749,0.9905651807785034,3.345895767211914,20.615067720413208,0.001,1024
5,5,0.055821414343516035,0.07152163696289063,0.9824833333333334,0.9795999526977539,0.949999988079071,0.9399999976158142,0.9887499809265137,0.9800000190734863,0.9843751192092896,3.2874786853790283,23.915292501449585,0.001,1024
6,6,0.051881367746988934,0.05784552001953125,0.9832,0.983199954032898,0.949999988079071,0.9799999594688416,0.9887499809265137,0.9920000433921814,0.9897936582565308,3.250621795654297,27.17870283126831,0.001,1024
7,7,0.036690221373240156,0.056894390869140624,0.9888,0.9824999570846558,1.0,1.0,0.9762499928474426,0.9940000176429749,0.9835597276687622,3.2720723152160645,30.46365451812744,0.001,1024
8,8,0.03188335744539897,0.052061328125,0.9901,0.9845999479293823,1.0,1.0,0.9899999499320984,0.9940000176429749,0.9917798638343811,3.257528781890869,33.73433494567871,0.001,1024
9,9,0.02649816480477651,0.05913937377929687,0.9914,0.9846999645233154,1.0,1.0,0.9862499833106995,0.984000027179718,0.985801637172699,3.2797372341156006,37.02965259552002,0.001,1024
10,10,0.02491042180856069,0.0566474609375,0.9919833333333333,0.9851999878883362,1.0,1.0,0.9874999523162842,0.984000027179718,0.986548900604248,3.378453254699707,40.42139768600464,0.001,1024
11,11,0.0183527951558431,0.05265885009765625,0.9940333333333333,0.9850999712944031,1.0,0.9799999594688416,0.981249988079071,0.9820000529289246,0.9815977811813354,3.2200467586517334,43.654934883117676,0.001,1024
12,12,0.018506587330500285,0.05455904541015625,0.99405,0.9858999848365784,1.0,0.9799999594688416,0.9674999713897705,0.9880000352859497,0.9756194949150085,3.2592034339904785,46.929747343063354,0.001,1024
13,13,0.015298801279067993,0.05349899291992188,0.9952333333333333,0.9865999817848206,0.949999988079071,0.9199999570846558,0.9699999690055847,0.9760000705718994,0.9712039232254028,3.186185836791992,50.12961983680725,0.001,1024
14,14,0.013732816282908122,0.054206439208984374,0.99545,0.9866999983787537,1.0,0.9799999594688416,0.981249988079071,0.9700000286102295,0.9771140813827515,3.2699100971221924,53.41329526901245,0.001,1024
15,15,0.01324149465560913,0.049540353393554684,0.9958666666666667,0.9878000020980835,1.0,1.0,0.9712499976158142,0.9760000705718994,0.9738450646400452,3.3886005878448486,56.815879583358765,0.001,1024
16,16,0.011440231076876322,0.04791708374023437,0.9963666666666666,0.9874999523162842,1.0,0.9799999594688416,0.9837499856948853,0.9780000448226929,0.9815977811813354,3.2015466690063477,60.03152799606323,0.001,1024
17,17,0.014100961828231812,0.04946184997558594,0.99525,0.9878999590873718,1.0,0.9799999594688416,0.9712499976158142,0.9760000705718994,0.9733776450157166,3.223909616470337,63.269673347473145,0.001,1024
18,18,0.01661321014960607,0.04835863037109375,0.9945333333333334,0.9876999855041504,1.0,1.0,0.9724999666213989,0.984000027179718,0.9775815010070801,3.2176244258880615,66.5018093585968,0.001,1024
19,19,0.012275403308868409,0.048192095947265624,0.9960833333333333,0.9871999621391296,1.0,1.0,0.9662500023841858,0.9640000462532043,0.9663721919059753,3.3150641918182373,69.8314368724823,0.001,1024
20,20,0.014179001530011495,0.046411361694335934,0.99535,0.9882999658584595,1.0,1.0,0.9574999809265137,0.9720000624656677,0.9641303420066833,3.138667583465576,72.98501539230347,0.001,1024
21,21,0.018349147073427836,0.050382632446289065,0.99365,0.9873999953269958,1.0,0.9399999976158142,0.9612500071525574,0.9600000381469727,0.9604862928390503,3.3166418075561523,76.3165910243988,0.001,1024
22,22,0.014597496096293131,0.05415735473632813,0.9951666666666666,0.9866999983787537,0.949999988079071,0.9599999785423279,0.9599999785423279,0.968000054359436,0.9631713032722473,3.314469814300537,79.64592790603638,0.001,1024
23,23,0.01805674143632253,0.05900433349609375,0.99425,0.9853000044822693,1.0,1.0,0.9587499499320984,0.9720000624656677,0.9648776054382324,3.2471022605895996,82.9082612991333,0.001,1024
24,24,0.025356772406895954,0.05132778930664063,0.9911833333333333,0.9873999953269958,0.949999988079071,0.9799999594688416,0.9549999833106995,0.9640000462532043,0.9591549634933472,3.2402520179748535,86.16394400596619,0.001,1024
25,25,0.025335999282201132,0.05481751708984375,0.9914666666666667,0.9846999645233154,1.0,0.9799999594688416,0.9649999737739563,0.9640000462532043,0.9651575088500977,3.2223434448242188,89.40173530578613,0.001,1024
26,26,0.028552737299601238,0.05129390869140625,0.9902833333333333,0.9851999878883362,0.949999988079071,0.9799999594688416,0.9487499594688416,0.9460000395774841,0.9486929774284363,3.180171251296997,92.59746623039246,0.001,1024
