,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity mlp1,sparsity mlp2,edge sparsity,epoch duration,run duration,lr,batch_size
0,0,1.0051525705973308,0.260486181640625,0.8346166666666667,0.9316999912261963,0.98499995470047,0.9899999499320984,0.9868021011352539,3.997789144515991,6.377482652664185,0.001,1024
1,1,0.18531000429789224,0.16846143798828125,0.9466333333333333,0.9539999961853027,0.9899999499320984,0.9824999570846558,0.987569272518158,2.7228434085845947,9.127530097961426,0.001,1024
2,2,0.1185101230621338,0.1341939453125,0.96475,0.9613999724388123,0.9899999499320984,0.9950000047683716,0.9917601943016052,2.679915428161621,11.818502187728882,0.001,1024
3,3,0.08361683546702067,0.11760943603515625,0.9745666666666667,0.967199981212616,0.9874999523162842,0.9950000047683716,0.9901193380355835,2.756208896636963,14.585627317428589,0.001,1024
4,4,0.06369908491770426,0.11014310302734374,0.9809,0.9692999720573425,0.98499995470047,0.9975000023841858,0.9893167018890381,2.6316611766815186,17.22846817970276,0.001,1024
5,5,0.04933020985921224,0.10346695556640625,0.9854,0.9699999690055847,0.9899999499320984,0.9774999618530273,0.9858928918838501,2.6785528659820557,19.918304681777954,0.001,1024
6,6,0.04203169221878052,0.09824668579101563,0.98675,0.9728999733924866,0.9874999523162842,0.9874999523162842,0.9876047968864441,2.7396702766418457,22.669545650482178,0.001,1024
7,7,0.02930483605066935,0.09923150634765625,0.9915833333333334,0.973800003528595,0.9874999523162842,0.9824999570846558,0.9859284162521362,2.6161468029022217,25.297354221343994,0.001,1024
8,8,0.02569851001103719,0.10197429809570313,0.9922,0.9727999567985535,0.9774999618530273,0.9749999642372131,0.9768503904342651,2.6747775077819824,27.983863592147827,0.001,1024
9,9,0.020871419541041058,0.1027683837890625,0.9941,0.9727999567985535,0.9824999570846558,0.9649999737739563,0.9767793416976929,2.6859970092773438,30.68154263496399,0.001,1024
10,10,0.01791408724784851,0.09239636840820313,0.9949,0.9756999611854553,0.9799999594688416,0.9799999594688416,0.9801676273345947,2.7570040225982666,33.450469732284546,0.001,1024
11,11,0.014742177327473958,0.091976513671875,0.9960333333333333,0.9765999913215637,0.9874999523162842,0.9874999523162842,0.9876047968864441,2.6929919719696045,36.155401945114136,0.001,1024
12,12,0.01321828490893046,0.0932780029296875,0.99625,0.9769999980926514,0.9749999642372131,0.9724999666213989,0.9743713736534119,2.5948004722595215,38.762261629104614,0.001,1024
13,13,0.011744404792785644,0.10051963500976563,0.9969166666666667,0.9749999642372131,0.9824999570846558,0.9749999642372131,0.9801321029663086,2.673255681991577,41.44775414466858,0.001,1024
14,14,0.011540944862365723,0.09692305908203125,0.997,0.9764999747276306,0.9824999570846558,0.9874999523162842,0.9843230843544006,2.6451539993286133,44.10514950752258,0.001,1024
15,15,0.013133941666285197,0.09064050903320313,0.9962666666666666,0.9779999852180481,0.9774999618530273,0.9699999690055847,0.9751740097999573,2.6983120441436768,46.81574511528015,0.001,1024
16,16,0.011529720584551493,0.08997899169921875,0.9969333333333333,0.9770999550819397,0.9774999618530273,0.9599999785423279,0.9718212485313416,2.6037251949310303,49.43227958679199,0.001,1024
17,17,0.012759550476074218,0.09482317504882813,0.99585,0.976699948310852,0.9649999737739563,0.9724999666213989,0.967807948589325,2.6105287075042725,52.055909633636475,0.001,1024
18,18,0.014643472520510356,0.08796602783203125,0.9955,0.9787999987602234,0.9674999713897705,0.9624999761581421,0.966096043586731,2.682337999343872,54.75083136558533,0.001,1024
19,19,0.017680068373680115,0.08802081909179688,0.9946,0.9777999520301819,0.9699999690055847,0.9624999761581421,0.9677368998527527,2.6177735328674316,57.381396770477295,0.001,1024
20,20,0.02221143921216329,0.09680348510742187,0.9926166666666667,0.9777999520301819,0.9674999713897705,0.9774999618530273,0.9711251854896545,2.7082858085632324,60.10262632369995,0.001,1024
21,21,0.024807895390192666,0.08775390625,0.9921333333333333,0.9767999649047852,0.9749999642372131,0.9749999642372131,0.9752095341682434,2.5462706089019775,62.66206383705139,0.001,1024
22,22,0.02904436807632446,0.08302992553710938,0.9907666666666667,0.9771999716758728,0.9599999785423279,0.9799999594688416,0.9670408368110657,2.6792314052581787,65.35441207885742,0.001,1024
23,23,0.037821359062194825,0.08366010131835938,0.9881,0.977899968624115,0.9624999761581421,0.9549999833106995,0.9602997303009033,2.685842752456665,68.0536949634552,0.001,1024
24,24,0.04459265594482422,0.08827381591796875,0.9860333333333333,0.9775999784469604,0.9624999761581421,0.9549999833106995,0.9602997303009033,2.8880815505981445,70.955078125,0.001,1024
25,25,0.064306867090861,0.0895964111328125,0.9795833333333334,0.9754999876022339,0.9649999737739563,0.9624999761581421,0.9644551873207092,2.6450273990631104,73.6136314868927,0.001,1024
26,26,0.06823557484944662,0.10794967041015625,0.9784166666666667,0.9714999794960022,0.9549999833106995,0.9549999833106995,0.9553772211074829,2.709205389022827,76.33642816543579,0.001,1024
27,27,0.0756135456720988,0.1047188232421875,0.9763333333333334,0.9711999893188477,0.9649999737739563,0.949999988079071,0.9602642059326172,2.641399621963501,78.99160075187683,0.001,1024
28,28,0.1002380818049113,0.1086077880859375,0.9676666666666667,0.9710999727249146,0.9375,0.9375,0.9380238652229309,2.6765124797821045,81.68195223808289,0.001,1024
29,29,0.10383665682474773,0.11201864013671875,0.9688333333333333,0.9721999764442444,0.9574999809265137,0.9624999761581421,0.959532618522644,2.6749165058135986,84.37083792686462,0.001,1024
30,30,0.11782956148783366,0.1293659912109375,0.9644666666666667,0.9662999510765076,0.9474999904632568,0.9649999737739563,0.9538074135780334,2.6699793338775635,87.05494928359985,0.001,1024
31,31,0.13002154350280762,0.1484353515625,0.9615666666666667,0.961899995803833,0.9474999904632568,0.9474999904632568,0.9479400515556335,2.6483848094940186,89.7175714969635,0.001,1024
32,32,0.1604752857208252,0.13939501953125,0.9512666666666667,0.9649999737739563,0.949999988079071,0.9574999809265137,0.952933669090271,2.70585298538208,92.43782806396484,0.001,1024
33,33,0.1658931640625,0.149764404296875,0.9503166666666667,0.9626999497413635,0.9574999809265137,0.9325000047683716,0.9494743347167969,2.6954071521759033,95.14772176742554,0.001,1024
34,34,0.18286678988138835,0.1913233154296875,0.9454333333333333,0.948699951171875,0.9350000023841858,0.9424999952316284,0.938059389591217,2.67358660697937,97.83587861061096,0.001,1024
35,35,0.1918016044616699,0.2070984130859375,0.9433833333333334,0.948699951171875,0.9274999499320984,0.9375,0.9314604997634888,2.687093496322632,100.5377140045166,0.001,1024
36,36,0.2070173568725586,0.2675549072265625,0.9384166666666667,0.9267999529838562,0.9350000023841858,0.9649999737739563,0.9456031322479248,2.7675952911376953,103.3201949596405,0.001,1024
37,37,0.21923136367797852,0.211457421875,0.93525,0.9453999996185303,0.9399999976158142,0.9449999928474426,0.9421793222427368,2.6815614700317383,106.01665687561035,0.001,1024
38,38,0.25340986735026044,0.2131492919921875,0.9227,0.946899950504303,0.949999988079071,0.9599999785423279,0.9537718892097473,2.938615083694458,108.97046494483948,0.001,1024
39,39,0.22353345082600912,0.22325029296875,0.9348833333333333,0.9496999979019165,0.9399999976158142,0.9325000047683716,0.9379883408546448,2.6691806316375732,111.65485048294067,0.001,1024
40,40,0.2514407861073812,0.2079972412109375,0.9240166666666667,0.9537999629974365,0.9474999904632568,0.9674999713897705,0.9546456336975098,2.7792282104492188,114.44947600364685,0.001,1024
41,41,0.23915809809366861,0.222148095703125,0.9308333333333333,0.948199987411499,0.9300000071525574,0.9249999523162842,0.9289103746414185,2.6385443210601807,117.10344195365906,0.001,1024
42,42,0.24865891545613608,0.253532568359375,0.9248833333333333,0.9462999701499939,0.949999988079071,0.9099999666213989,0.9370080232620239,2.66086483001709,119.77994155883789,0.001,1024
43,43,0.24001140365600587,0.223792138671875,0.9283333333333333,0.9469999670982361,0.9549999833106995,0.9474999904632568,0.9528626203536987,2.777219772338867,122.57299137115479,0.001,1024
44,44,0.24435319366455077,0.2493981689453125,0.92725,0.9438999891281128,0.9300000071525574,0.9099999666213989,0.9238811731338501,2.7793667316436768,125.3682291507721,0.001,1024
45,45,0.24044728800455728,0.220344775390625,0.9297,0.9523999691009521,0.9399999976158142,0.9325000047683716,0.9379883408546448,2.778916358947754,128.16310858726501,0.001,1024
46,46,0.23585928548177082,0.220285498046875,0.9313833333333333,0.9465000033378601,0.9399999976158142,0.9449999928474426,0.9421793222427368,2.7265586853027344,130.90596890449524,0.001,1024
47,47,0.22703753840128582,0.2352093505859375,0.9346333333333333,0.9429000020027161,0.9375,0.949999988079071,0.942214846611023,2.7644197940826416,133.6866490840912,0.001,1024
48,48,0.23234206606547037,0.24740244140625,0.9323833333333333,0.9472999572753906,0.9300000071525574,0.9449999928474426,0.9356158971786499,2.7148680686950684,136.41796565055847,0.001,1024
49,49,0.24422485122680665,0.2203669189453125,0.9272333333333334,0.9502999782562256,0.9350000023841858,0.92249995470047,0.9313538670539856,2.632716178894043,139.06720805168152,0.001,1024
50,50,0.22920600827534993,0.2175848876953125,0.93145,0.9513999819755554,0.9274999499320984,0.9199999570846558,0.9255931377410889,2.6687419414520264,141.75291442871094,0.001,1024
51,51,0.23022360521952312,0.2395652099609375,0.9317833333333333,0.9483999609947205,0.949999988079071,0.9350000023841858,0.9453899264335632,2.921721935272217,144.6912558078766,0.001,1024
52,52,0.24298271153767903,0.25316171875,0.9272666666666667,0.9440000057220459,0.9375,0.9274999499320984,0.9346711039543152,2.678994655609131,147.38767194747925,0.001,1024
53,53,0.24148791859944663,0.19646259765625,0.9276666666666666,0.9555999636650085,0.9350000023841858,0.9325000047683716,0.9347066283226013,2.695995330810547,150.10083317756653,0.001,1024
54,54,0.23031288363138835,0.2324589111328125,0.9323666666666667,0.9514999985694885,0.9399999976158142,0.9350000023841858,0.9388265609741211,2.6857149600982666,152.80362057685852,0.001,1024
55,55,0.2137736698150635,0.2592323974609375,0.9370833333333334,0.950499951839447,0.9350000023841858,0.9350000023841858,0.9355448484420776,2.697627305984497,155.5184006690979,0.001,1024
56,56,0.2188878598531087,0.21133505859375,0.9352666666666667,0.9595999717712402,0.9399999976158142,0.9199999570846558,0.9337973594665527,2.6283226013183594,158.1641275882721,0.001,1024
57,57,0.2276572494506836,0.230230029296875,0.9324333333333333,0.9485999941825867,0.9375,0.9375,0.9380238652229309,2.8125016689300537,160.9940311908722,0.001,1024
58,58,0.24494388529459635,0.254068994140625,0.92505,0.9424999952316284,0.9300000071525574,0.9399999976158142,0.933939516544342,2.7288947105407715,163.74051451683044,0.001,1024
59,59,0.22944489339192708,0.20640390625,0.93175,0.9490999579429626,0.9424999952316284,0.9424999952316284,0.9429819583892822,2.677361011505127,166.43552350997925,0.001,1024
60,60,0.20567099482218423,0.2120853271484375,0.9403833333333333,0.9539999961853027,0.9474999904632568,0.9274999499320984,0.9412345290184021,2.6433916091918945,169.0966808795929,0.001,1024
