,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,1.7160310693359375,1.55887255859375,0.35638,0.4699999988079071,1.0,268346.0,0.9999999506794522,40551048.0,20.721763610839844,22.826313257217407,0.1,128
1,1,1.2651683235168456,1.15325966796875,0.54068,0.5895999670028687,1.0,268346.0,0.9999999506794522,40551048.0,19.387115240097046,42.243751764297485,0.1,128
2,2,1.0733299220275878,1.16317109375,0.61462,0.6026999950408936,1.0,268346.0,0.9999999506794522,40551048.0,19.13145613670349,61.39888048171997,0.1,128
3,3,0.9519348147583008,1.107908203125,0.66214,0.6484999656677246,1.0,268346.0,0.9999999506794522,40551048.0,19.652343034744263,81.07509422302246,0.1,128
4,4,0.8787018955993652,0.84062099609375,0.69274,0.7139999866485596,1.0,268346.0,0.9999999506794522,40551048.0,19.556008338928223,100.6549232006073,0.1,128
5,5,0.832760776977539,0.8461666015625,0.70854,0.7050999999046326,1.0,268346.0,0.9999999506794522,40551048.0,19.540060997009277,120.21886777877808,0.1,128
6,6,0.8000373412322999,0.883791796875,0.72194,0.7098000049591064,1.0,268346.0,0.9999999506794522,40551048.0,19.247347354888916,139.49144101142883,0.1,128
7,7,0.7731679035949707,1.0926275390625,0.73178,0.6538999676704407,1.0,268346.0,0.9999999506794522,40551048.0,19.661509037017822,159.17804193496704,0.1,128
8,8,0.7470369507598877,0.757893505859375,0.7407,0.7428999543190002,1.0,268346.0,0.9999999506794522,40551048.0,19.510318279266357,178.71264052391052,0.1,128
9,9,0.7264198016357422,0.754232861328125,0.74848,0.7440999746322632,1.0,268346.0,0.9999999506794522,40551048.0,19.61727023124695,198.35477995872498,0.1,128
10,10,0.7158042571258545,0.78095966796875,0.74986,0.7450999617576599,1.0,268346.0,0.9999999506794522,40551048.0,19.214584827423096,217.59467315673828,0.1,128
11,11,0.7027425875091553,0.86185185546875,0.7548,0.7226999998092651,1.0,268346.0,0.9999999506794522,40551048.0,19.43185782432556,237.05210375785828,0.1,128
12,12,0.6964595983886719,1.1506904296875,0.75882,0.6633999943733215,1.0,268346.0,0.9999999506794522,40551048.0,19.16426706314087,256.2428421974182,0.1,128
13,13,0.6957070429992676,0.6993232421875,0.75806,0.7696999907493591,1.0,268346.0,0.9999999506794522,40551048.0,19.530502557754517,275.79944229125977,0.1,128
14,14,0.6792649863433838,0.670236669921875,0.7652,0.7716999650001526,1.0,268346.0,0.9999999506794522,40551048.0,19.24488115310669,295.0696704387665,0.1,128
15,15,0.6766338915252685,0.723944970703125,0.76718,0.7676999568939209,1.0,268346.0,0.9999999506794522,40551048.0,19.497843265533447,314.5933749675751,0.1,128
16,16,0.6682150071716308,0.85171689453125,0.76744,0.7276999950408936,1.0,268346.0,0.9999999506794522,40551048.0,19.313902854919434,333.93405199050903,0.1,128
17,17,0.658651501159668,0.673977392578125,0.77062,0.7717999815940857,1.0,268346.0,0.9999999506794522,40551048.0,19.545104265213013,353.50648260116577,0.1,128
18,18,0.6632825052642822,0.7991126953125,0.76856,0.7335000038146973,1.0,268346.0,0.9999999506794522,40551048.0,19.408501148223877,372.94156885147095,0.1,128
19,19,0.6507697861480712,0.93919052734375,0.7759,0.7149999737739563,1.0,268346.0,0.9999999506794522,40551048.0,19.416954278945923,392.38606452941895,0.1,128
20,20,0.6519833527374268,0.88467060546875,0.7758,0.7078999876976013,1.0,268346.0,0.9999999506794522,40551048.0,19.295876502990723,411.70972514152527,0.1,128
21,21,0.6399793280792236,0.643658203125,0.77916,0.7906999588012695,1.0,268346.0,0.9999999506794522,40551048.0,19.546908378601074,431.283962726593,0.1,128
22,22,0.6334515597534179,0.776284375,0.78006,0.7547000050544739,1.0,268346.0,0.9999999506794522,40551048.0,19.41359305381775,450.7247064113617,0.1,128
23,23,0.6306603488922119,1.61102998046875,0.78154,0.5670999884605408,1.0,268346.0,0.9999999506794522,40551048.0,19.551368713378906,470.30446338653564,0.1,128
24,24,0.6349025354003907,0.68455361328125,0.78132,0.786899983882904,1.0,268346.0,0.9999999506794522,40551048.0,19.32318949699402,489.6558108329773,0.1,128
25,25,0.6321844835662842,0.729770361328125,0.78228,0.7649999856948853,1.0,268346.0,0.9999999506794522,40551048.0,19.538697481155396,509.2226142883301,0.1,128
26,26,0.6287915313720703,0.781018017578125,0.78292,0.7471999526023865,1.0,268346.0,0.9999999506794522,40551048.0,19.147852182388306,528.3995246887207,0.1,128
27,27,0.6127768662261963,0.7898708984375,0.78738,0.7537999749183655,1.0,268346.0,0.9999999506794522,40551048.0,19.40692687034607,547.8351621627808,0.1,128
28,28,0.6257112585449218,0.73129130859375,0.7814,0.7734000086784363,1.0,268346.0,0.9999999506794522,40551048.0,19.148792266845703,567.0129098892212,0.1,128
29,29,0.6249348011016845,0.681675244140625,0.78358,0.7803999781608582,1.0,268346.0,0.9999999506794522,40551048.0,19.386687755584717,586.4287312030792,0.1,128
30,30,0.6183684609222412,0.632521337890625,0.78562,0.7912999987602234,1.0,268346.0,0.9999999506794522,40551048.0,19.181754112243652,605.6392767429352,0.1,128
31,31,0.617435710067749,0.652071826171875,0.78618,0.7852999567985535,1.0,268346.0,0.9999999506794522,40551048.0,19.64017343521118,625.3081214427948,0.1,128
32,32,0.6150918474578857,0.728338720703125,0.785,0.7667999863624573,1.0,268346.0,0.9999999506794522,40551048.0,19.175508975982666,644.5130362510681,0.1,128
